{52.22766 ,  22.661821		},
{76.205765 ,  21.441162       },
{102.688126 ,  22.240374      },
{126.65227 ,  21.445438       },
{153.27206 ,  21.991753       },
{177.3719 ,  21.26556         },
{203.71501 ,  21.776436       },
{228.21799 ,  21.074356       },
{254.27812 ,  21.43774        },
{278.98422 ,  20.956152       },
{304.89145 ,  21.072866       },
{329.94583 ,  20.929613       },
{355.73517 ,  20.867018       },
{380.923 ,  20.881695         },
{406.71152 ,  20.69691        },
{431.7597 ,  21.041636        },
{457.72498 ,  20.471985       },
{482.79895 ,  20.99739        },
{508.81763 ,  20.588293       },
{533.90576 ,  21.104164       },
{559.9246 ,  20.311752        },
{585.1328 ,  21.3001          },
{52.642967 ,  47.364326       },
{78.38544 ,  48.437973        },
{102.78066 ,  47.515804       },
{128.52763 ,  47.999832       },
{153.0619 ,  47.39415         },
{178.82391 ,  47.78305        },
{203.57361 ,  47.064053       },
{229.14816 ,  47.575897       },
{254.13232 ,  47.02363        },
{279.54407 ,  47.285206       },
{304.6098 ,  47.001526        },
{330.20602 ,  47.025314       },
{355.28702 ,  47.001953       },
{380.90448 ,  46.905296       },
{406.01376 ,  47.0306         },
{431.60138 ,  46.683132       },
{456.68756 ,  47.081863       },
{482.41174 ,  46.69452        },
{507.52795 ,  47.147804       },
{533.2476 ,  46.403114        },
{558.33356 ,  47.374916       },
{584.25977 ,  46.28199        },
{54.373837 ,  74.421104       },
{79.02173 ,  73.134796        },
{104.341095 ,  74.03267       },
{129.05154 ,  73.2332         },
{154.37021 ,  73.63556        },
{179.07487 ,  73.08853        },
{204.41367 ,  73.44432        },
{229.30879 ,  72.942184       },
{254.59126 ,  73.22019        },
{279.5727 ,  72.79629         },
{304.89093 ,  72.913124       },
{330.02194 ,  72.816864       },
{355.27386 ,  72.78899        },
{380.43042 ,  72.77298        },
{405.7538 ,  72.64298         },
{430.9535 ,  72.82768         },
{456.32266 ,  72.576256       },
{481.43478 ,  72.798935       },
{507.05 ,  72.558685          },
{531.98706 ,  73.13014        },
{557.6417 ,  72.12592         },
{582.7539 ,  73.63615         },
{55.405693 ,  98.486565       },
{80.44893 ,  99.736725        },
{105.06528 ,  98.51772        },
{130.1206 ,  99.29031         },
{154.86691 ,  98.59947        },
{179.91937 ,  98.99336        },
{204.72823 ,  98.402435       },
{229.92403 ,  98.88884        },
{254.75478 ,  98.35665        },
{279.95978 ,  98.577866       },
{304.83533 ,  98.33146        },
{330.0956 ,  98.33826         },
{355.08936 ,  98.30168        },
{380.3088 ,  98.16587         },
{405.36145 ,  98.42502        },
{430.5881 ,  98.17662         },
{455.7216 ,  98.36756         },
{480.96585 ,  98.17264        },
{506.04922 ,  98.52327        },
{531.27167 ,  98.006836       },
{556.3857 ,  98.943344        },
{581.7661 ,  97.48599         },
{56.920998 ,  125.08824       },
{81.48082 ,  123.671585       },
{106.23673 ,  124.80536       },
{130.9483 ,  123.7957         },
{155.82098 ,  124.49836       },
{180.5465 ,  123.820816       },
{205.39232 ,  124.201935      },
{230.23434 ,  123.76424       },
